name,affiliation,orcid
"Clark T","University of Virginia","https://orcid.org/0000-0003-4060-7360"
"Parker J","University of California, San Diego","https://orcid.org/0000-0003-4535-3486"
"Al Manir S","University of Virginia","https://orcid.org/0000-0003-4647-3877"
"Axelsson U","KTH Royal Institute of Technology",""
"Ballllosero Navarro F","Stanford University","https://orcid.org/0000-0002-4180-422X"
"Chinn B","University of California San Diego",""
"Churas CP","University of California San Diego","https://orcid.org/0000-0001-9998-705X"
"Dailamy A","University of California, San Diego","https://orcid.org/0000-0002-6711-8260"
"Doctor Y","University of California, San Diego","https://orcid.org/0009-0009-0483-7506"
"Fall J","KTH - Royal Institute of Technology",""
"Forget A","University of California San Francisco","https://orcid.org/0000-0003-0223-0312"
"Gao J","University of California San Diego","https://orcid.org/0000-0002-6311-3526"
"Hansen JN","Stanford University","https://orcid.org/0000-0002-4650-9094"
"Hu M","University of California San Diego","https://orcid.org/0000-0002-1571-8029"
"Johannesson A","KTH - Royal Institute of Technology",""
"Khaliq H","University of California San Diego",""
"Lee YH","University of California San Diego","https://orcid.org/0000-0003-0917-355X"
"Lenkiewicz J","University of California San Diego","https://orcid.org/0000-0001-7252-8638"
"Levinson MA","University of Virginia","https://orcid.org/0000-0003-0384-8499"
"Marquez C","University of California San Diego","0000-0003-3960-420X"
"Metallo C","University of California San Diego","https://orcid.org/0000-0003-2404-3040"
"Muralidharan M","University of California San Francisco",""
"Nourreddine S","University of California San Diego","https://orcid.org/0000-0003-3881-7588"
"Niestroy J","University of Virginia","https://orcid.org/0000-0002-1103-3882"
"Obernier K","University of California San Francisco","https://orcid.org/0000-0002-4025-1299"
"Pan E","University of California San Diego",""
"Polacco B","University of California San Francisco",""
"Pratt D","University of California San Diego","https://orcid.org/0000-0002-1471-9513"
"Qian G","University of California San Diego","https://orcid.org/0009-0005-4217-2745"
"Schaffer L","University of California San Diego","https://orcid.org/0000-0001-6339-9141"
"Sigaeva A","KTH Royal Institute of Technology","https://orcid.org/0000-0003-3361-3797"
"Thaker S","University of Alabama at Birmingham","https://orcid.org/0000-0001-6730-2773"
"Zhang Y","University of California San Diego",""
"Bélisle-Pipon JC","Simon Fraser University","https://orcid.org/0000-0002-8965-8153"
"Brandt C","Yale University","https://orcid.org/0000-0001-8179-1796"
"Chen JY","The University of Alabama at Birmingham","https://orcid.org/0000-0002-6112-415X"
"Ding Y","University of Texas at Austin","https://orcid.org/0000-0003-2567-2009"
"Fodeh S","Yale University","https://orcid.org/0000-0003-4664-3143"
"Krogan N","University of California San Francisco","https://orcid.org/0000-0003-4902-337X"
"Lundberg E","Stanford University","https://orcid.org/0000-0001-7034-0850"
"Mali P","University of California San Diego","https://orcid.org/0000-0002-3383-1287"
"Payne-Foster P","University of Alabama","https://orcid.org/0000-0002-3508-3577"
"Ratcliffe S","University of Virginia","https://orcid.org/0000-0002-6644-8284"
"Ravitsky V","University of Montreal","https://orcid.org/0000-0002-7080-8801"
"Sali A","University of California San Diego","https://orcid.org/0000-0003-0435-6197"
"Schulz W","Yale University","https://orcid.org/0000-0002-2048-4028"
"Ideker T","University of California San Diego","https://orcid.org/0000-0002-1708-8454"
